District_Eng,Taluka_Eng,No_Of_Victims_Shifted,Avg_No_Of_Ambulance,Cardiac,Pregnancy,Respiratory,Trauma,Others,AsOnDt
Jamnagar,Jamjodhpur,197,1,16,89,14,14,64,1/31/2018 0:00
Banaskantha,Dantiwada,187,1,1,109,6,24,47,1/31/2018 0:00
Rajkot,Gondal,287,2,13,125,16,47,86,1/31/2018 0:00
Kachchh,Bhuj,806,6,23,323,44,94,322,1/31/2018 0:00
Rajkot,Paddhari,146,1,7,73,7,16,43,1/31/2018 0:00
Amreli,Lathi,296,2,13,182,7,23,71,1/31/2018 0:00
Morbi,Maliya,138,1,8,77,12,13,28,1/31/2018 0:00
Devbhumi-Dwarka,Khambhalia,292,1,19,97,15,26,135,1/31/2018 0:00
Vadodara,Savali,283,1,7,113,15,60,88,1/31/2018 0:00
Kachchh,Nakhatrana,479,4,13,320,14,22,110,1/31/2018 0:00
Sabarkantha,Vadali,163,1,5,62,5,18,73,1/31/2018 0:00
Jamnagar,Kalavad,210,1,12,106,10,22,60,1/31/2018 0:00
Junagadh,Junagadh,281,0,25,82,16,19,139,1/31/2018 0:00
Navsari,Gandevi,233,2,10,63,19,27,114,1/31/2018 0:00
Banaskantha,Vadgam,305,2,13,120,16,30,126,1/31/2018 0:00
Junagadh,Manavadar,153,1,15,57,9,14,58,1/31/2018 0:00
Tapi,Vyara,638,4,38,174,21,76,329,1/31/2018 0:00
Anand,Tarapur,248,3,16,113,18,44,57,1/31/2018 0:00
Chhotaudepur,Kawant,453,3,8,200,20,33,192,1/31/2018 0:00
Surat,Bardoli,299,3,7,94,20,53,125,1/31/2018 0:00
Bhavnagar,Ghogha,210,2,24,80,11,25,70,1/31/2018 0:00
Kheda,Galteshwar,96,0,2,59,5,18,12,1/31/2018 0:00
Rajkot,Lodhika,186,1,7,68,14,26,71,1/31/2018 0:00
Bhavnagar,Vallabhipur,107,1,4,66,2,14,21,1/31/2018 0:00
Junagadh,Bhesan,126,1,5,48,9,8,56,1/31/2018 0:00
Navsari,Jalalpore,288,2,12,83,31,37,125,1/31/2018 0:00
Amreli,Lilia,193,1,12,118,6,8,49,1/31/2018 0:00
