District_Eng,No_Of_Victims_Shifted,Cardiac,Pregnancy,Respiratory,Trauma,Others,AsOnDt
Jamnagar,197,16,89,14,14,64,1/31/2018 0:00
Banaskantha,187,1,109,6,24,47,1/31/2018 0:00
Rajkot,287,13,125,16,47,86,1/31/2018 0:00
Kachchh,806,23,323,44,94,322,1/31/2018 0:00
Rajkot,146,7,73,7,16,43,1/31/2018 0:00
Amreli,296,13,182,7,23,71,1/31/2018 0:00
Morbi,138,8,77,12,13,28,1/31/2018 0:00
Devbhumi-Dwarka,292,19,97,15,26,135,1/31/2018 0:00
Vadodara,283,7,113,15,60,88,1/31/2018 0:00
Kachchh,479,13,320,14,22,110,1/31/2018 0:00
Sabarkantha,163,5,62,5,18,73,1/31/2018 0:00
Jamnagar,210,12,106,10,22,60,1/31/2018 0:00
Junagadh,281,25,82,16,19,139,1/31/2018 0:00
Navsari,233,10,63,19,27,114,1/31/2018 0:00
Banaskantha,305,13,120,16,30,126,1/31/2018 0:00
Junagadh,153,15,57,9,14,58,1/31/2018 0:00
Tapi,638,38,174,21,76,329,1/31/2018 0:00
Anand,248,16,113,18,44,57,1/31/2018 0:00
Chhotaudepur,453,8,200,20,33,192,1/31/2018 0:00
Surat,299,7,94,20,53,125,1/31/2018 0:00
Bhavnagar,210,24,80,11,25,70,1/31/2018 0:00
Kheda,96,2,59,5,18,12,1/31/2018 0:00
Rajkot,186,7,68,14,26,71,1/31/2018 0:00
Bhavnagar,107,4,66,2,14,21,1/31/2018 0:00
Junagadh,126,5,48,9,8,56,1/31/2018 0:00
Navsari,288,12,83,31,37,125,1/31/2018 0:00
Amreli,193,12,118,6,8,49,1/31/2018 0:00
Panchmahals,165,4,61,4,11,85,1/31/2018 0:00
The Dangs,135,3,67,3,6,56,1/31/2018 0:00
Chhotaudepur,721,14,399,29,34,245,1/31/2018 0:00
Chhotaudepur,180,1,111,4,24,40,1/31/2018 0:00
Surendranagar,235,14,81,13,26,101,1/31/2018 0:00
Ahmedabad,309,3,226,16,18,46,1/31/2018 0:00
Navsari,149,14,28,13,19,75,1/31/2018 0:00
Patan,189,12,41,8,17,111,1/31/2018 0:00
Chhotaudepur,324,9,166,15,35,99,1/31/2018 0:00
Gir Somnath,544,10,350,14,80,90,1/31/2018 0:00
Junagadh,267,12,146,11,27,71,1/31/2018 0:00
Mahisagar,354,17,182,18,24,113,1/31/2018 0:00
Banaskantha,607,5,369,13,28,192,1/31/2018 0:00
Banaskantha,275,2,138,6,24,105,1/31/2018 0:00
Bharuch,531,16,169,27,123,196,1/31/2018 0:00
Kheda,22,0,9,0,3,10,1/31/2018 0:00
Valsad,94,5,11,7,29,42,1/31/2018 0:00
Bhavnagar,99,9,59,3,3,25,1/31/2018 0:00
Botad,94,1,56,4,10,23,1/31/2018 0:00
Navsari,628,24,224,22,72,286,1/31/2018 0:00
Valsad,215,5,66,9,61,74,1/31/2018 0:00
Devbhumi-Dwarka,230,20,113,11,14,72,1/31/2018 0:00
Panchmahals,486,10,148,24,30,274,1/31/2018 0:00
Sabarkantha,184,6,83,13,24,58,1/31/2018 0:00
Surendranagar,140,10,78,5,14,33,1/31/2018 0:00
Vadodara,228,5,112,11,33,67,1/31/2018 0:00
Mahesana,17,4,3,1,4,5,1/31/2018 0:00
Mahesana,674,22,115,20,126,391,1/31/2018 0:00
Mahisagar,182,3,91,10,8,70,1/31/2018 0:00
Sabarkantha,404,9,208,24,41,122,1/31/2018 0:00
Amreli,210,14,87,12,23,74,1/31/2018 0:00
Porbandar,139,8,46,2,25,58,1/31/2018 0:00
Rajkot,168,9,67,6,20,66,1/31/2018 0:00
Surat,272,9,95,8,36,124,1/31/2018 0:00
Tapi,172,8,42,14,16,92,1/31/2018 0:00
Aravalli,290,11,64,25,41,149,1/31/2018 0:00
Chhotaudepur,247,1,112,9,57,68,1/31/2018 0:00
Narmada,212,1,151,3,22,35,1/31/2018 0:00
Porbandar,241,18,103,17,14,89,1/31/2018 0:00
Surat,253,4,74,8,21,146,1/31/2018 0:00
